"Име на фирма","Седалище","Дейности","Адрес на аптека - град","Адрес на аптека","Дата","№/№ промяна","Адрес на управление","Ръководител","пом.-фарм.","latitude","longitude"
"","","","с. Кошарица","общ. Несебър, обл. Бургас","2002-08-07T00:00:00","5315-НА","","Радостина Борисова Николова","","42.7520734","27.6912353"
"","","","гр. Драгоман","ул. Александър Стамболийски 1","2002-08-07T00:00:00","5316-НА","","Маргарита Рангелова Боянова","","42.921675","22.929844"
"","","","гр. Бяла","ул. Йордан Ноев 8","2002-08-07T00:00:00","5318-НА","","Недялка Кръстева Спасова","","42.8753959","27.886679"
"","","","с. Трудовец","общ. Ботевград, ул. Черковна 4","2002-08-07T00:00:00","5321-НА","","Лина Николова Статева","пом.-фарм.","42.9147828","23.8401795"
"","","","гр. София","ул. Клисура 13 А","2002-08-07T00:00:00","5323-НА","","Мария Петрова Чолакова","","42.70648","23.3524762"
"","","","с. Полски сеновец","общ. Полски Тръмбеш","2002-09-07T00:00:00","5330-НА","","Екатерина Андреевна Четалбашева","","43.3004272","25.5999762"
"ЕТ ЛИЛЯНА МИЛЕВА - ЗДРАВЕ","гр. Перник 2300","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Перник","ул. Св. Св. Кирил и Методий, бл. 9","2013-02-22T00:00:00","5332-НА-1","ул. Св. Св.Кирил Методий, бл. 9, ап. 3","Лиляна Славчова Милева","","42.608904","23.0296099"
"","","","гр. София","ул. Гюешево 77","2002-09-07T00:00:00","5338-НА","","Иван Георгиев Радев","","42.6921199","23.29561"
"","","","гр. София","общински пазар Иван Вазов","2002-07-24T00:00:00","5350-НА","","Светослав Славейков Димитров","","42.6977082","23.3218675"
"","","","гр. Крумовград","ул. Трети март 2","2002-07-30T00:00:00","5353-НА","","Катя Георгиева Гарабетова","","41.471294","25.6553103"
"","","","гр. Бургас","ул. Хан Крум 13 а","2002-01-08T00:00:00","5365-НА","","Султанка Петрова Петкова","","42.6652279","27.713858"
"","","","гр. София","ж.к. Ботунец, бл. 9, вх. В","2002-01-08T00:00:00","5370-НА","","Георги Михайлов Иванов","","42.6977082","23.3218675"
"","","","гр. София","ул. Дедеагач, бл. 60 А, зад вх. Е","2002-01-08T00:00:00","5378-НА","","Боряна Цветанова Попова","","42.6977082","23.3218675"
"","","","гр. София","ул. Черковна 57","2002-01-08T00:00:00","5380-НА","","Минитина Господинова Господинова","","42.6938973","23.3516509"
"","","","гр. Русе","ул. Александровска 118","2002-01-08T00:00:00","5390-НА","","Весела Божидарова Ангелова","","43.8547115","25.9613049"
"","","","гр. София","бул. Столетов 67 А","2002-03-10T00:00:00","5514-НА","","Пета многопрофилна болница за   активно лечение - София ЕАД  ръководител Цанка Недялкова Пеева","","42.713077","23.3125198"
"ЕТ КАЛИНКА АЛЕКСАНДРОВА","гр. Тополовград","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Тополовград","ул. Младежка 3","2002-08-19T00:00:00","5395-НА","жк. Сакар, бл. 3, вх.. А, ап. 12.","Калина Костадинова Александрова","","42.08510010000001","26.3330869"
"","","","гр. Етрополе","пл. Малки пазар 1","2002-08-19T00:00:00","5402-НА","","ЦветанСтаменов Вълков","","42.8346414","23.9986631"
"","","","гр. София","бул. Мария Луиза 127 /стар 123/","2002-09-23T00:00:00","5424-НА","","Велина Иванова Йорданова","","42.6977082","23.3218675"
"","","","гр. Карлово","ул. Ген. Карцов 1","2002-09-23T00:00:00","5426-НА","","Даниела Спасова Протопопова","","42.6421792","24.8093327"
"","","","гр. София","бул. Христо Ботев 35","2002-09-23T00:00:00","5437-НА","","Соня Николова Петрова","","42.6935209","23.3147267"
"","","","гр. Русе","ул. Муткурова 13","2002-09-23T00:00:00","5445-НА","","Радосвета Петкова Паликарова","пом.-фарм.","43.850171","25.9576836"
"ЕТ ""ВЕНЕТА ВЪЛКАНОВА""","гр. Сливен 8800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Сливен","ул. ""Цар Освободител"" № 24","2011-12-16T00:00:00","5460-НА-1","кв. ""Даме Груев"", бл. 42, вх. Б, ет. 2, ап. 7","Стефанка Владимирова Ненчева","","42.6801466","26.318646"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ЕООД","гр. Велинград 4600","аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура, с изключение на лекарствени форми за очи и разтвори за парентерално приложение","гр. Велинград","бул. Съединение 49","2013-07-22T00:00:00","5465-НА-1","бул. Съединение № 49","Мирослава Юлиянова Доспатска","","42.0324862","23.9903933"
"","","","гр. Кърджали","ул. Калоян 5, бл. 2","2002-03-10T00:00:00","5470-НА","","Недка Илиева Вакрилова","","41.6447159","25.3675067"
"","","","гр. Димитровград","бул. България 6","2002-03-10T00:00:00","5472-НА","","Община Димитровград с ЕООД Дим-фарма  ръководител Никола Петков Рашев","","42.0588318","25.5929996"
"","","","гр. София","ж.к. Надежда I, бл. 103, вх. Б","2002-03-10T00:00:00","5485-НА","","Стефан Михайлов Стефанов","","42.7273815","23.2920097"
"","","","гр. Стрелча","бул. България 88","2002-03-10T00:00:00","5500-НА","","Минка Генчева Герова","","42.5060515","24.3209906"
"","","","с. Калугерово","общ. Лесичево","2002-03-10T00:00:00","5508-НА","","Иванка Иванова Гечева","","42.9890908","23.8957108"
"ЕТ ЛИЛЯНА-ЛИЛЯНА САПУНДЖИЕВА","гр. Варна","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Варна","ул. Алеко Константинов 5","2002-10-30T00:00:00","5579-НА","жк. Младост-2, бл. 115, вх. 5, ет. 7, ап. 37","Лиляна Петрова Сапунджиева","","43.2109031","27.907057"
"","","","гр. София","ул. Коста Паница 10, МЦ - 1","2002-10-30T00:00:00","5582-НА","","Кристина Николова Христова","","42.6977082","23.3218675"
"","","","с. Оризово","общ. Братя Даскалови, обл. Стара Загора","2002-10-30T00:00:00","5583-НА","","Стойка Стоянова Генова","","42.2098063","25.1652156"
"","","","гр. Петрич","ул. Цар Борис III 10","2002-10-30T00:00:00","5588-НА","","Петър Димитров Бръчков","","41.39810809999999","23.2066849"
"","","","гр. Златица","пл. Македония","2002-10-30T00:00:00","5591-НА","","Дора Славчева Борисова","","42.7147833","24.1390477"
"","","","гр. София","ж.к. Люлин, бл. 329, вх. Б","2002-10-30T00:00:00","5593-НА","","Надя Георгиева Вълчева","","42.7175429","23.2503848"
"","","","гр. Сливен","ул. Хаджи Димитър 16","2002-04-11T00:00:00","5594-НА","","Юрка Росенова Афузова","","42.678771","26.3175331"
"","","","гр. Пазарджик","ул. Пловдивска 15 А","2002-04-11T00:00:00","5595-НА","","Маруся Николова Микова","","42.1897459","24.3392043"
"","","","гр. София","ул. Райко Алексиев 40","2002-05-11T00:00:00","5607-НА","","Станислав Бориславов Цанков","","42.671735","23.3593"
"ЕТ ЕКАТЕРИНА ФРЕНСКА","гр. Благоевград","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Благоевград","кв. Струмско","2002-05-11T00:00:00","5609-НА","ул. Струма 19, вх. А, ап. 14, ет. 7","Екатерина Янкова Френска","","41.9893284","23.0831045"
"","","","гр. Пловдив","ул. Пещерско шосе 95","2002-05-11T00:00:00","5611-НА","","Александър Петков Недялков","","42.1375107","24.7192899"
"","","","гр. Перник","ул. Протожерица 102","2002-06-12T00:00:00","5661-НА","","Многопрофилна болница за долекуване,   продължително лечение и рехабилитация   ЕООД  ръководител Светла Иванова Тодорова","","42.5914836","23.030198"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО ПНЕВМО-ФТИЗИАТРИЧНИ ЗАБОЛЯВАНИЯ-СОФИЯ ОБЛАСТ ЕООД","гр. София","аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура, с изключение на лекарствени форми за очи и разтвори за парентерално приложение","гр. София","бул. Сливница 309","2013-05-02T00:00:00","5665-НА-1","бул. Сливница № 309","Диана Петрова Стефанова","","42.7056908","23.3331114"
"","","","гр. София","ул. Отличник 14","2002-12-14T00:00:00","5680-НА","","Петър Кирилов Петров","","42.6977082","23.3218675"
"","","","с. Горско сливово","общ. Летница, обл. Ловеч","2002-12-14T00:00:00","5684-НА","","Фатме Селманова Делиибрамова","","43.2057511","25.070125"
"","","","гр. Сапарева баня","кв. 74","2002-12-14T00:00:00","5692-НА","","Иван Димитров Яверов","","42.2899734","23.2686255"
"","","","гр. Габрово","ул. Радецка 38","2002-12-14T00:00:00","5696-НА","","Станка Христова Тодорова","","42.8742212","25.3186837"
"","","","гр. София","бул. Александър Пушкин, бл. 64","2002-12-14T00:00:00","5701-НА","","Петър Стефанов Петров","","42.6585907","23.264452"
"","","","гр. Бургас","к-с Лазур, ул. Поморие 18","2002-12-20T00:00:00","5702-НА","","Веселина Георгиева Мицова","","42.5030666","27.4792785"
"","","","гр. Велико Търново","ул. Теодоси Търновски 25 А","2002-12-28T00:00:00","5710-НА","","Ангелина Петрова Банчева","","43.0760932","25.6508476"
"","","","гр. Гулянци","ул. Д-р Александър Войников 1","2002-12-28T00:00:00","5711-НА","","Галина Миткова Якова","","43.643574","24.6955006"
"","","","гр. Провадия","ул. Желез Йорданов 1","2002-12-28T00:00:00","5716-НА","","Многопрофилна болница за активно  лечение Царица Йонна - Провадия ЕООД  ръководител Кръстинка Николаева Митева","","43.1821285","27.4379391"
"","","","гр. София","ул. Хайдушка поляна 12","2003-01-13T00:00:00","5746-НА","","Варя Стоилова Николова","","42.6818337","23.2834481"
"","","","гр. София","ж.к. Младост, бл. 432, вх. 1","2003-01-13T00:00:00","5750-НА","","Аспарух Василев Цанов","","42.6323636","23.3788974"
"","","","с. Долни Луковит","общ. Искър","2003-01-13T00:00:00","5752-НА","","Община Искър с Пелофарма ЕООД  ръководител Екатерина Йорданова Христова","","43.5140568","24.2155625"
"","","","гр. Русе","ул. Борисова 6","2003-01-13T00:00:00","5753-НА","","Георги Блажев Катинов","","43.8471299","25.9533808"
"","","","гр. Кнежа","ул. Марин Боев 56","2003-01-23T00:00:00","5758-НА","","Михаил Любенов Младжовски","","43.4927972","24.0807647"
"","","","гр. Варна","ул. Преслав 40 Б","2003-01-27T00:00:00","5771-НА","","Марийка Йонкова Чомакова - Минкова","","43.2011927","27.9156376"
"","","","гр. Гоце Делчев","ул. Цар Самуил 5","2003-03-02T00:00:00","5787-НА","","Йорданка Лазарова Гълъбова","","41.5744797","23.7323109"
"","","","с. Лесидрен","общ. Угърчин, обл. Ловеч","2003-03-02T00:00:00","5799-НА","","Иванка Илиева Йотова","","42.97466989999999","24.4041879"
"","","","гр. София","ул. Виктор Юго 5","2003-05-02T00:00:00","5812-НА","","Лидия Михайлова Маричкова","","42.6897339","23.3399496"
"","","","гр. Ямбол","ул. Георги Дражев 13","2003-05-02T00:00:00","5817-НА","","Иван Стефанов Хърков","","42.4838467","26.5042071"
"","","","гр. Сандански","пл. България 2","2003-05-02T00:00:00","5826-НА","","Пламен Борисов Донев","","41.5683149","23.2778673"
"","","","гр. Дупница","ул. Патриарх Евтимий, бл. 12","2003-05-02T00:00:00","5835-НА","","Невена Спасова Евтимова","","42.2598297","23.1210442"
"","","","гр. Симеоновград","ул. Търговска 20","2003-05-02T00:00:00","5836-НА","","Живка Николова Добрева","","42.0349858","25.8310015"
"","","","с. Ветрино","обл. Варна, ул. Георги Сава Раковски 27","2003-03-13T00:00:00","5845-НА","","Цветанка Кирилова Несторова","","43.2046477","27.9105488"
"","","","гр. София","ж.к. Дружба 1, бл. 155","2003-03-13T00:00:00","5855-НА","","Лидия Крумова Пандова","","42.6583231","23.3984245"
"","","","гр. София","бул. Мария Луиза 125","2003-03-13T00:00:00","5866-НА","","Ирма Александрова Иванова","","42.7076942","23.3230789"
"","","","гр. Свиленград","бул. България 130","2003-03-17T00:00:00","5867-НА","","Емилия Богомилова Димитрова","","41.7653382","26.2035189"
"","","","гр. София","ж.к. Хаджи Димитър, ул. Клисура 20, ДКЦ - 23","2003-03-17T00:00:00","5870-НА","","Пешка Минкова Сивова - Савова","","42.707183","23.3530502"
"","","","гр. Шивачево","ул. Георги Димитров 37","2003-03-17T00:00:00","5871-НА","","Стоянка Колева Попиванова","","42.6863368","26.0305741"
"","","","гр. Стара Загора","бул. Патриарх Евтимий 81 Г","2003-05-30T00:00:00","6032-НА","","Иванка Ганева Димитрова","","42.4246279","25.6346103"
"ЕТ НИКОЛИНКА СТЕФАНОВА","гр. Сливен","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Сливен","ул. Х. Димитър 39, аптека 1","2003-01-04T00:00:00","5885-НА","ул. Панайот Волов 1","Николинка Денева Стефанова","","42.6816536","26.3228685"
"","","","гр. Бургас","кв. Сарафово, ул. Ангел Димитров 63","2003-01-04T00:00:00","5894-НА","","Таня Георгиева Беличовска","","42.5620436","27.5236223"
"","","","гр. Тополовград","ул. България 36 А","2003-01-04T00:00:00","5899-НА","","Николай Божинов Камаринчев","","42.08441879999999","26.3403175"
"","","","гр. София","ул. Любата 15","2003-07-04T00:00:00","5908-НА","","Анна Николаева Антова - Дамянова","","42.6702974","23.318306"
"","","","гр. Перник","ул. Благой Гебрев, бл. 66, вх. Г","2003-07-04T00:00:00","5913-НА","","Катя Мирчева Ръхова","","42.6033901","23.1097937"
"","","","гр. София","ул. Свети Георги Софийски 3","2003-07-04T00:00:00","5915-НА","","Военномедицинска академия - София  ръководител Албена Александрова Чамурджиева","","42.6843986","23.3040746"
"","","","гр. София","ж.к. Гоце Делчев, бл. 13 Е, вх. А","2003-07-04T00:00:00","5925-НА","","Василка Мирчова Александрова","","42.7149024","23.2679455"
"","","","гр. Сандански","ул. Воден 1","2003-07-04T00:00:00","5938-НА","","Нели Кирилова Василева","","41.5637554","23.2800944"
"","","","с. Камено поле","общ. Роман, обл. Враца","2003-07-04T00:00:00","5943-НА","","Йорданка Стойчева Кадиева","","43.2259155","23.8937627"
"","","","гр. Велинград","пл. Свобода 1","2003-07-04T00:00:00","5954-НА","","Христина Петрова Семерджиева","","42.0275439","23.9915523"
"","","","гр. София","район Панчарево, с. Железница, център","2003-10-05T00:00:00","5983-НА","","Елисавета Гервазиева Стефанова","","42.6981254","23.3233594"
"","","","гр. Велико Търново","ул. Зеленка 2","2003-12-05T00:00:00","5992-НА","","Христо Николов Христов","","43.0842338","25.6312106"
"","","","с. Смирненски","общ. Ветово, обл. Русе","2003-12-05T00:00:00","6006-НА","","Веселина Иванова Рачева","","43.7642972","26.2991496"
"","","","гр. София","ул. Княз Борис I 1","2003-12-05T00:00:00","6010-НА","","Николай Велев Пенчев","","42.6855391","23.3126005"
"","","","гр. Силистра","ул. Д-р Атанас Янков 2, ДКЦ - 1","2003-05-20T00:00:00","6017-НА","","Ваню Бобев Бобев","","44.1147271","27.2671901"
"","","","гр. София","бул. Княз Дондуков 5","2003-05-30T00:00:00","6023-НА","","Нелия Георгиева Денина","","42.6980197","23.3251415"
"","","","гр. София","ж.к. Люлин, ул. Ген. Асен Николов, бл. 917, вх. Б","2003-05-30T00:00:00","6025-НА","","Луиза Бориславова Коновска","","42.7201564","23.2643559"
"","","","гр. София","ул. Солунска 34, аптека 2","2003-05-30T00:00:00","6031-НА","","Наталия Йорданова Борисова","","42.6977082","23.3218675"
"","","","гр. София","бул. Г. М. Димитров, бл. 88, вх. 1","2003-03-06T00:00:00","6051-НА","","Лиляна Делчева Зайкова","","42.6666591","23.3653002"
"","","","гр. Свиленград","ул. Страшимир Дочков 35","2003-03-06T00:00:00","6061-НА","","Мара Славова Атанасова","","41.7775874","26.2046937"
"","","","гр. Сливен","ул. Пушкин 2","2003-09-06T00:00:00","6066-НА","","Военномедицинска академия  Болнична база за активно лечение - Сливен  ръководител Петко Ангелов Петков","","42.6745063","26.3345802"
"","","","гр. София","ул. Проф. Д-р Ал. Станишев 17, ДКЦ - ХII, аптека 2","2003-06-19T00:00:00","6067-НА","","Маргарита Христова Войнова","","42.6977082","23.3218675"
"","","","гр. Враца","ул. Алеко Константинов 1","2003-06-19T00:00:00","6068-НА","","Божанка Добрева Панчева","","43.2077817","23.5515934"
"ЙОРДАНКА НИКОЛОВА-АРТЕМИДА ЕООД","гр. Кюстендил 2500","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Кюстендил","ул. Цар Освободител 31","2013-05-13T00:00:00","6070-НА-1","ул. Крали Марко № 2","Йорданка Николова Йорданова","","42.2777106","22.6858312"
"","","","гр. Кърджали","ул. Добрич 44","2003-06-19T00:00:00","6074-НА","","Държавна психиатрична болница  ръководител Ладка Иванова Костова","","41.6511692","25.3768921"
"","","","гр. Пловдив","бул. Христо Ботев 81","2003-06-19T00:00:00","6075-НА","","Военномедицинска академия  Болнична база за активно лечение - Пловдив  ръководител Петя Николова Данова","","42.1364872","24.7567275"
"","","","гр. Кюстендил","ул. Любен Каравелов 10","2003-10-07T00:00:00","6098-НА","","Мадлена Иванова Пашова","","42.280083","22.6914874"
"","","","гр. Пловдив","ул. Копривките 2","2003-10-07T00:00:00","6117-НА","","Людмила Петрова Павлова","","42.1381612","24.7235005"
"","","","с. Нови хан","сградата на читалището","2003-10-07T00:00:00","6120-НА","","Вера Трайкова Михайлова","","42.606009","23.5923253"
"ЕТ МЕДИКУС-СНЕЖАНА ДОСТИНА","гр. София","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. София","ж.к. Люлин 3, бл. 371, вх. А","2003-10-07T00:00:00","6121-НА","жк. Люлин, бл. 404, вх. Г, ап. 83","Снежана Иванова Достина","","42.7220219","23.2407672"
"","","","гр. София","ул. Цветан Радославов 6","2003-10-07T00:00:00","6127-НА","","Бранислава Целова Коларова-Шентова","","42.6792224","23.3560171"
"","","","гр. София","ж.к. Фондови жилища, бл. 217, вх. Г","2003-06-10T00:00:00","6213-НА","","Йосиф Нисим Кало","","42.7119975","23.3007851"
"","","","гр. Каварна","ул. Васил Левски 36","2003-07-15T00:00:00","6129-НА","","Специализирана болница за активно  лечение - Каварна ЕООД  ръководител Велико Атанасов Точков","","43.4294467","28.3328074"
"","","","гр. Пловдив","ул. Водолей 17","2003-07-15T00:00:00","6132-НА","","Здравинка Асенова Шишеджиева","","42.1627979","24.7551899"
"ЕТ МЕДЕЯ-98-ЮЛИАНКА ПАДАРЕВА","гр. Велико Търново","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Велико Търново","ул. Велчова завера 14","2003-12-08T00:00:00","6140-НА","ул. Ален Мак 8 А","Юлиянка Стоянова Падарева","","43.0831421","25.6406762"
"","","","гр. София","ж.к. Хаджи Димитър, бл. 32-34, вх. А","2003-12-08T00:00:00","6142-НА","","Александър Димитров Церовски","","42.7077776","23.3635814"
"ЕТ ""КАЛИН ИВАНОВ-2003""","гр. Плевен 5800, община Плевен","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Перник","ул. ""Златоград"" № 3","2012-01-11T00:00:00","6146-НА-1","ж.к. ""Дружба"", бл. 311, вх. Д, ет. 3, ап. 6","Калин Емилов Иванов","","42.6051862","23.0378368"
"","","","гр. Варна","ул. Мир 1","2003-04-09T00:00:00","6180-НА","","Пенка Василева Керанкова","","43.2212501","27.9288539"
"","","","гр. София","бул. Мария Луиза 193","2003-04-09T00:00:00","6191-НА","","Любослава Маркова Колева","","42.714047","23.3109025"
"","","","гр. Габрово","кв. Дядо Дянко","2003-06-10T00:00:00","6199-НА","","Специализирана болница за активно   лечение на белодробни болести -   Габрово ЕООД  ръководител Петър Николов Колев","","42.8442197","25.3082002"
"","","","гр. София","ул. Пиротска 40","2003-06-10T00:00:00","6200-НА","","Красимира Йончева Кънева","","42.7004673","23.3155072"
"","","","гр. Раднево","бул. Георги Димитров 14","2003-06-10T00:00:00","6205-НА","","Йорданка Ангелова Пенева","","42.2924467","25.9410602"
"","","","гр. София","ул. Света гора 42","2003-06-10T00:00:00","6214-НА","","Наталия Георгиева Коларова","","42.6751988","23.3299042"
"","","","гр. София","ж.к. Слатина, бл. 53","2003-06-10T00:00:00","6217-НА","","Елена Владиславова Палавеева","","42.6748542","23.3016614"
"","","","гр. Пловдив","ул. Крали Марко 17","2003-06-10T00:00:00","6224-НА","","Стела Христова Начева","","42.1402459","24.7514018"
"","","","гр. Тетевен","ул. Иван Вазов 18","2003-06-10T00:00:00","6225-НА","","Нешка Йотова Стоянова","","42.9180056","24.266375"
"","","","гр. Стара Загора","бул. Методи Кусев 38","2003-10-22T00:00:00","6236-НА","","Ивана Господинова Ангелова","","42.4285222","25.6253146"
"","","","гр. Пазарджик","бул. Христо Ботев 47","2003-10-22T00:00:00","6237-НА","","Добринка Димитрова Златарева","","42.19212840000001","24.3204122"
"","","","гр. София","бул. Дондуков 7, вх. А","2003-10-22T00:00:00","6249-НА","","Иван Динков Тучев","","42.6981016","23.3263478"
"","","","гр. София","ж.к. Орландовци, ул. Железопътна 15","2003-10-22T00:00:00","6263-НА","","Димитрина Янева Виткова","","42.7179985","23.3427664"
"","","","гр. Главиница","ул. Оборище 45","2003-10-22T00:00:00","6273-НА","","Валерия Димитрова Иванова","","42.1886577","24.3378931"
"","","","гр. Бургас","ул. Антим I 3-5","2003-10-22T00:00:00","6277-НА","","Ирина Трайкова Милева","","42.4914751","27.4769051"
"","","","гр. София","ул. Опълченска, бл. 54","2003-10-22T00:00:00","6279-НА","","Пенка Петрова Георгиева","","42.7034711","23.3112038"
"","","","гр. Перущица","ул. Цар Борис I 16","2003-10-27T00:00:00","6280-НА","","Милка Георгиева Букова","","42.057517","24.5479535"
"","","","гр. Разград","ул. Искър 16 - аптека 2","2003-04-11T00:00:00","6292-НА","","Гриша Мирославов Искренов","","43.53367189999999","26.5411164"
"","","","гр. Тополовград","ул. Мусала 1","2003-11-17T00:00:00","6308-НА","","Многопрофилна болница за активно  лечение - Тополовград ЕООД  ръководител Цветана Стамова Илиева","","42.08510010000001","26.3330869"
"","","","гр. Оряхово","ул. Архитект Цолов 98","2003-11-17T00:00:00","6318-НА","","Многопрофилна болница за активно  лечение ЕООД  ръководител Габриела Георгиева Лалова","","41.9211532","26.1574041"
"","","","гр. Шумен","ул. Васил Априлов 63","2003-11-17T00:00:00","6319-НА","","Многопрофилна болница за активно   лечение - Шумен АД  ръководител Татяна Петрова Петрова","","43.2769551","26.9189713"
"","","","гр. София","ул. Майор Първан Тошев 8","2003-11-17T00:00:00","6325-НА","","Маря Христова Нурева - Иванова","","42.6782657","23.3012578"
"","","","с. Русокастро","общ. Камено, УПИ I, кв. 33","2004-02-18T00:00:00","6494-НА","","Йорданка Димитрова Гогова","","42.4654826","27.1867438"
"","","","с. Мулдава","общ. Асеновград, ул. Св. Петка 40","2003-11-17T00:00:00","6334-НА","","Атанаска Методиева Абрашева","","41.9863788","24.9436316"
"","","","гр. Пловдив","ул. Иван Вазов 61","2003-11-17T00:00:00","6338-НА","","Ивайло Георгиев Мартинов","","42.135724","24.7426751"
"","","","гр. София","ул. Русалийски проход 13","2003-11-17T00:00:00","6361-НА","","Хрисула Апостолова Гълъбова","","42.6624997","23.3152486"
"","","","гр. Разград","ул. Свети Климент 45","2003-08-12T00:00:00","6385-НА","","Тота Христова Андонова","","43.5249813","26.535916"
"","","","гр. Варна","ул. Христо Смирненски 3","2004-07-01T00:00:00","6434-НА","","Военномедицинска академия София  ръководител Фани Стефанова Иванова","пом.-фарм","43.2280776","27.9262654"
"","","","с. Чирен","общ. Враца","2004-08-01T00:00:00","6442-НА","","Витана Дилкова Петкова - Иванова","","43.3307638","23.5809271"
"","","","гр. Стара Загора","ул. Ангел Кънчев 64","2004-08-01T00:00:00","6448-НА","","Петър Димитров Ковачев","","42.4278252","25.6409969"
"","","","гр. Свищов","ул. Цар Освободител 96","2004-08-01T00:00:00","6450-НА","","Кристин Димитрова Савчева","","43.6161232","25.349241"
"","","","гр. София","бул. Цар Борис III 19 - магазин 12","2004-08-01T00:00:00","6454-НА","","Елеонора Стефанова Раковска","","42.6977082","23.3218675"
"","","","гр. Пловдив","ул. Скопие 82, бл. 1554, вх. Д","2004-08-01T00:00:00","6456-НА","","Веселина Иванова Титова - Георгиева","","42.1256207","24.7498868"
"","","","гр. Търговище","ул. Митрополит Андрей 1","2004-01-15T00:00:00","6468-НА","","Надежда - Грета Цанева Смилкова","","43.2425387","26.5722666"
"","","","гр. Априлци","ул. Ново село 6 А","2004-10-02T00:00:00","6480-НА","","Ана Колева Вълкова - Пелова","пом.-фарм","42.8414073","24.9210916"
"","","","гр. Варна","ж.к. Чайка, бул. Княз Борис I, спирка Акациите,   19 м. р.","2004-10-02T00:00:00","6484-НА","","Радостина Добрева Неделчева","пом.-фарм","43.2121036","27.9356397"
"","","","гр. Благоевград","ж.к. Еленово, бл. 108","2004-02-18T00:00:00","6495-НА","","Тодорка Михайлова Спасова","","42.00295550000001","23.1107568"
"","","","гр. Стара Загора","ул. Димчо Стаев 30, вх. Б","2004-02-18T00:00:00","6498-НА","","Ванда Красимирова Иванова","","42.41967289999999","25.6199107"
"ЕТ ""РЕМЕДИА- ЕМИЛИЯ ИВАНОВА""","гр.София 1202, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ул. ""Поп Богомил"" № 2","2012-01-11T00:00:00","6499-НА-1","ж.к. ""Младост 1"", бл. 24, вх. А, ет. 3, ап. 15","Емилия Ангелова Иванова","","42.7037652","23.328528"
"","","","гр. София","ул. Г. С. Раковски 161","2004-01-03T00:00:00","6514-НА","","Малинка Иванова Градева","","42.69048009999999","23.3236358"
"","","","гр. Благоевград","ул. Григор Пърличев 60","2004-01-03T00:00:00","6518-НА","","Геновева Иванова Якимова","","42.0230394","23.0949763"
"","","","гр. Благоевград","ул. Димитър Талев 7","2004-01-03T00:00:00","6521-НА","","Йорданка Георгиева Златанова","","42.0213362","23.0991265"
"","","","гр. София","бул. Черни връх 80-82, магазин 6","2004-01-03T00:00:00","6524-НА","","Вивианна Александрова Андонова","","42.6977082","23.3218675"
"","","","гр. Благоевград","ул. Тодор Александров 19 - аптека 2","2004-01-03T00:00:00","6526-НА","","Емилия Трайкова Люнгова","","42.0208569","23.0943385"
"","","","гр. Якоруда","ул. П. Р. Славейков 17","2004-03-17T00:00:00","6531-НА","","Виолета Кирилова Еврова","","42.0178132","23.6688363"
"","","","гр. София","ж.к. Люлин 9, ул. Търново 13","2004-03-17T00:00:00","6533-НА","","Здравко Запрянов Запрянов","","42.7187906","23.2688448"
"УГЛИФАРМ ЕООД","гр. Бургас 8000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","ж.к. Лазур, бл. 114","2013-09-10T00:00:00","6538-НА-1","ул. Михаил Герджиков №12, ет. 1, ап 1","Соня Цакова Дерменджиева","","42.5068519","27.4767138"
"","","","гр. Стара Загора","бул. Цар Симеон Велики 55","2004-03-17T00:00:00","6549-НА","","Траянка Атанасова Стойкова","","42.4226508","25.6163684"
"","","","гр. Стара Загора","ул. Цар Симеон Велики 155, вх. Б","2004-03-17T00:00:00","6554-НА","","Нела Георгиева Маринова","","42.4274308","25.6440235"
"","","","гр. Бяла Слатина","ул. Христо Ботев 16 - аптека 2","2004-03-25T00:00:00","6557-НА","","Цветан Иванов Горанов","","43.468773","23.9366071"
